ID,PIB,AP,AS,AT,Cov,Cov_D,Cov_D_C
103,"24,138,833","678,677","7,867,126","14,314,486",0,0,0
104,"24,634,512","927,344","7,688,377","14,773,670",0,0,0
105,"23,814,241","762,367","7,596,991","14,108,560",0,0,0
106,"24,212,333","831,217","7,707,722","14,308,258",0,0,0
107,"24,054,176","690,892","7,735,804","14,342,621",0,0,0
108,"24,382,873","913,431","7,451,714","14,771,766",0,0,0
109,"23,444,757","753,594","7,399,826","13,998,098",3130,1,1
110,"19,201,804","821,102","5,782,812","11,646,257",274088,1,1
111,"22,030,368","730,579","7,150,193","13,033,382",533831,1,1
112,"23,467,135","928,445","7,375,314","14,021,102",666873,1,1
113,"22,735,887","757,898","7,250,829","13,513,762",808997,1,1
114,"23,398,419","872,255","7,340,462","13,910,356",264145,1,1
115,"23,162,044","720,441","7,466,104","13,727,403",1169349,1,1
116,"23,906,485","958,012","7,499,534","14,193,109",315075,1,1
117,"23,456,410","761,216","7,619,925","13,774,484",1755918,1,0
118,"24,176,437","868,426","7,731,072","14,200,684",208589,1,0
119,"24,269,422","727,998","7,881,757","14,324,913",1171055,1,0
120,"24,981,146","1,003,715","7,880,529","14,779,724",111373,1,0
121,"24,291,956","760,531","7,841,678","14,298,211",311164,1,0
122,"25,001,940","890,587","8,036,803","14,639,081",106210,1,0
123,"25,121,269","768,433","8,225,219","14,751,609",2131,1,0
124,"25,596,361","1,006,430","8,104,642","15,138,839",0,0,0
